id,age,education,city,country
101492,32,среднее,1188,32
42690,20,высшее,1134,32
113001,27,среднее,1187,32
163654,49,высшее,1160,32
69523,44,среднее,1137,32
112070,34,высшее,1141,32
89805,28,среднее,1162,32
173464,35,среднее,1156,32
168361,32,среднее,1134,32
57052,42,среднее,1188,32
8983,33,среднее,1141,32
120841,34,среднее,1204,32
62239,24,высшее,1154,32
148195,45,среднее,1201,32
2266,30,среднее,1179,32
164389,35,среднее,1134,32
106251,43,среднее,1158,32
165960,46,среднее,1208,32
133520,15,высшее,1184,32
101054,29,среднее,1094,32
42,46,среднее,1134,32
117495,28,среднее,1157,32
13427,31,среднее,1167,32
108496,52,среднее,1188,32
34266,31,среднее,1165,32
39249,15,высшее,1204,32
122643,57,среднее,1157,32
17698,39,среднее,1134,32
134774,41,среднее,1190,32
164090,38,среднее,1187,32
14717,30,среднее,1162,32
149335,11,среднее,1202,32
90944,36,среднее,1157,32
106303,37,среднее,1188,32
151923,68,среднее,1134,32
42458,39,среднее,1134,32
122393,24,высшее,1177,32
9678,56,среднее,1188,32
91736,31,среднее,1134,32
45882,32,среднее,1134,32
113922,47,среднее,1167,32
79732,38,среднее,1204,32
55561,60,среднее,1134,32
26065,48,среднее,907,32
38107,29,среднее,1093,32
569,18,высшее,1170,32
132518,47,среднее,1204,32
141016,41,среднее,1177,32
163321,24,высшее,1208,32
135874,28,среднее,1151,32
33624,25,высшее,1208,32
44704,43,среднее,1178,32
17942,57,среднее,1175,32
22793,52,среднее,1188,32
32543,33,среднее,1134,32
119306,37,среднее,1188,32
120196,40,среднее,1179,32
155965,35,среднее,1177,32
78166,37,среднее,1188,32
5577,22,высшее,1181,32
13859,18,высшее,1204,32
84828,20,высшее,1187,32
159354,48,среднее,1188,32
3873,28,среднее,1165,32
11573,37,среднее,1177,32
14945,17,высшее,1142,32
95452,33,среднее,1188,32
74631,37,среднее,1188,32
17995,17,высшее,1137,32
70805,39,среднее,1188,32
20421,29,среднее,1188,32
73831,16,высшее,1203,32
25880,32,среднее,1165,32
146837,55,среднее,1134,32
145314,69,среднее,1188,32
127292,41,среднее,1187,32
159630,31,среднее,1134,32
155361,69,высшее,1141,32
170253,63,среднее,1176,32
89966,48,среднее,189,32
12255,44,среднее,1187,32
15748,43,среднее,1179,32
16275,19,высшее,1134,32
71606,26,высшее,1157,32
67869,18,высшее,1188,32
96374,37,высшее,1164,32
33957,42,среднее,1188,32
65010,48,высшее,1181,32
7302,42,среднее,1198,32
156754,40,среднее,1134,32
171554,56,среднее,1183,32
107690,45,среднее,1192,32
159915,19,высшее,1134,32
128050,34,среднее,1137,32
170933,39,среднее,1157,32
30075,53,среднее,1152,32
47243,38,среднее,1183,32
131489,16,высшее,1134,32
3344,47,среднее,1162,32
112475,56,среднее,1183,32
165532,32,среднее,1134,32
54124,41,среднее,1183,32
174972,55,среднее,1188,32
177844,24,высшее,1157,32
52735,42,среднее,1137,32
98644,35,среднее,1158,32
93594,15,высшее,1211,32
72201,41,среднее,1186,32
132959,38,среднее,1201,32
98014,34,среднее,1162,32
115235,44,высшее,1165,32
111825,50,среднее,1134,32
30503,20,высшее,1134,32
64288,24,высшее,1141,32
124038,35,среднее,1200,32
147443,56,среднее,1134,32
155379,31,среднее,1157,32
95326,32,среднее,1156,32
119333,37,среднее,1134,32
121648,39,среднее,1156,32
34379,15,высшее,1154,32
111721,42,среднее,1134,32
97515,40,среднее,1134,32
1628,43,среднее,1134,32
92525,21,высшее,1152,32
20572,46,среднее,1152,32
